TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,79. Finishing the CardInsideLeft component,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,80. Finishing the CardInsideRight component,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,81. Finishing the CardBack component,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,82. Introduction to the event bus,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,83. Sending events to the event bus,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,84. Receiving events from the event bus,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,85. Adding mixins,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,86. Section outro,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,Section 7 - Transitions & Animations,4,1,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,87. Section intro,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,88. Transition classes,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,89. Adding CSS transitions,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,90. Adding CSS animations,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,91. Component transitions & transition modes,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,92. Javascript hooks introduction,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,93. Javascript hooks in action,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,94. Mixing animations & transitions,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,95. Custom transition classes,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,96. Initial render transitions,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,97. Element transitions & keys,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,98. Group transitions,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,99. V-move class & dynamic transition names,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,100. Section outro,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,Section 8 - Thank You,4,1,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,101. Thank you,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
task,102. Keep on learning,4,2,Filip (155242),,,en,Europe/Warsaw
,,,,,,,,
